Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
DOCTOR,42509,3515418493460774,07/25,251,1
DOCTOR,80334,213134223583196,05/32,858,1
LAWYER,91552,4869615013764888,03/30,755,1
LAWYER,43623,341063356109385,01/29,160,1
LAWYER,35707,3566642280046540,02/33,652,1
DOCTOR,48695,3509190113431000,09/25,901,1
ENGINEER,7932,3598862315700018,11/33,831,1
DOCTOR,5403,4728303889641271,10/31,962,1
DOCTOR,53211,38604448050141,04/25,859,1
LAWYER,54103,571979063658,04/33,228,1
LAWYER,74329,6592329894337538,11/25,469,1
DOCTOR,72324,36674486727001,05/33,783,1
DOCTOR,22144,4330275529855384551,06/27,457,1
ENGINEER,7286,5470392481549252,02/28,758,1
LAWYER,4829,30410458019135,02/25,852,1
DOCTOR,86156,30084059321297,02/34,962,1
ENGINEER,30627,375169591033220,12/24,871,1
DOCTOR,99484,2567867494423778,01/32,686,1
ENGINEER,83925,370522502935666,03/26,677,1
DOCTOR,84764,213185684197843,08/29,817,1
LAWYER,17564,4902419569172045,11/28,777,1
LAWYER,69645,371030681064497,04/33,4108,1
LAWYER,20653,5363884342348650,04/32,958,1
DOCTOR,40682,3501682453218433,08/32,791,1
ENGINEER,8051,3545511695093858,09/30,22,1
ENGINEER,16701,213196024854928,01/25,741,1
DOCTOR,35273,30280051238568,05/33,203,1
LAWYER,99465,4348585173981,06/34,900,1
ENGINEER,17115,4322932379913061,09/25,810,1
ENGINEER,68802,343528279002931,08/26,759,1
LAWYER,94751,3587481145648751,06/31,612,1
ENGINEER,21382,213130691839037,12/30,574,1
DOCTOR,70186,213169852910138,10/29,601,1
ENGINEER,62273,3563093124187764,08/28,856,1
DOCTOR,17465,4094082189595006017,05/30,694,1
ENGINEER,90027,4121944605542,06/26,664,1
DOCTOR,10372,3593942698048923,03/25,947,1
LAWYER,57744,4664429488953795,10/28,0,1
DOCTOR,31370,4880174078938107,02/27,2905,1
ENGINEER,76416,3501619168661911,12/28,6079,1
ENGINEER,1088,4802036676519131,09/34,451,1
LAWYER,8494,4603630405825081,01/32,312,1
LAWYER,48497,30522465797139,03/34,328,1
DOCTOR,53764,630491294363,03/28,739,1
LAWYER,57380,3560713080573979,02/31,86,1
DOCTOR,14757,3563823082653013,10/25,852,1
DOCTOR,81197,348391504636659,03/31,180,1
LAWYER,13497,4465810944041385,03/30,193,1
ENGINEER,46543,4526546698892711971,04/34,591,1
DOCTOR,30115,36947763325990,03/33,3736,1
DOCTOR,45906,4208390968214921,02/31,918,1
DOCTOR,22511,4813177974195,06/26,988,1
ENGINEER,78289,4561583219526744,01/34,435,1
DOCTOR,72426,4643525435122149278,08/25,627,1
ENGINEER,21481,3565463460332498,07/25,58,1
LAWYER,17071,180099073476156,01/25,823,1
DOCTOR,94507,4090621316061783,10/25,451,1
ENGINEER,36667,3572579767980514,12/26,821,1
LAWYER,55791,3539934661765044,10/26,891,1
DOCTOR,11771,4104571212881504985,02/26,696,1
ENGINEER,2760,180069397356913,05/30,794,1
LAWYER,4622,6011673343661425,01/31,684,1
DOCTOR,38147,569200930174,06/33,327,1
DOCTOR,28657,4438207237689240,07/31,484,1
ENGINEER,48878,3539544471718941,04/33,9,1
LAWYER,49531,36001784647865,08/31,165,1
LAWYER,966,630460813292,02/30,671,1
DOCTOR,7929,4047991017196541,05/31,186,1
DOCTOR,8015,377666928852303,03/32,239,1
LAWYER,91673,3574594498182775,09/30,89,1
ENGINEER,5044,4900782350715113882,08/28,4127,1
