Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
DOCTOR,42509,3515418493460774,07/25,251,1
DOCTOR,80334,213134223583196,05/32,858,1
LAWYER,91552,4869615013764888,03/30,755,1
LAWYER,43623,341063356109385,01/29,160,1
DOCTOR,22962,4707418777543978402,11/30,102,0
ENGINEER,72106,4483533221713,05/27,834,0
DOCTOR,54992,348781654665997,06/30,207,0
LAWYER,19996,38608157332988,12/26,0433,0
DOCTOR,54682,4495934016931879,01/32,872,0
DOCTOR,74679,30107450695256,09/34,295,0
ENGINEER,18932,4378127464575998663,09/32,637,0
ENGINEER,7554,4277979999858536,10/31,360,0
LAWYER,3092,3584353125903535,10/32,666,0
LAWYER,35707,3566642280046540,02/33,652,1
DOCTOR,48695,3509190113431000,09/25,901,1
ENGINEER,7932,3598862315700018,11/33,831,1
DOCTOR,5403,4728303889641271,10/31,962,1
ENGINEER,52440,6011305111955735,04/27,3336,0
LAWYER,1598,4786471014340,12/24,390,0
DOCTOR,53211,38604448050141,04/25,859,1
LAWYER,54103,571979063658,04/33,228,1
LAWYER,74329,6592329894337538,11/25,469,1
ENGINEER,3784,4899733632669794,09/33,723,0
LAWYER,93669,347167113631542,03/30,547,0
DOCTOR,72324,36674486727001,05/33,783,1
LAWYER,62306,4514788813299,11/28,141,0
DOCTOR,22144,4330275529855384551,06/27,457,1
ENGINEER,7286,5470392481549252,02/28,0758,1
DOCTOR,4885,2247057643520090,11/26,288,0
LAWYER,4829,30410458019135,02/25,852,1
ENGINEER,80900,38269305641638,01/30,882,0
DOCTOR,86156,30084059321297,02/34,962,1
ENGINEER,30627,375169591033220,12/24,871,1
DOCTOR,4195,4792890479814707,06/34,279,0
DOCTOR,86553,4340098493416212112,12/33,282,0
DOCTOR,99484,2567867494423778,01/32,686,1
ENGINEER,83925,370522502935666,03/26,677,1
DOCTOR,35956,213118318256057,07/29,848,0
ENGINEER,13039,3561835251466870,12/33,241,0
DOCTOR,84764,213185684197843,08/29,817,1
LAWYER,17564,4902419569172045,11/28,777,1
LAWYER,69645,371030681064497,04/33,4108,1
DOCTOR,37159,6011824682411928,10/29,0428,0
LAWYER,20653,5363884342348650,04/32,958,1
DOCTOR,40682,3501682453218433,08/32,791,1
ENGINEER,8051,3545511695093858,09/30,022,1
ENGINEER,16701,213196024854928,01/25,741,1
DOCTOR,35273,30280051238568,05/33,203,1
DOCTOR,61284,4598579635222170,03/33,3575,0
LAWYER,24571,4767152850301,04/30,857,0
LAWYER,48247,4326724295030,10/33,792,0
LAWYER,50909,213121247525006,07/25,030,0
ENGINEER,31303,213111809277278,04/34,543,0
LAWYER,99465,4348585173981,06/34,900,1
DOCTOR,24501,180010917468143,12/24,521,0
ENGINEER,17115,4322932379913061,09/25,810,1
LAWYER,56577,4024818136843966706,09/26,707,0
LAWYER,40822,3547046667959073,12/30,926,0
ENGINEER,68802,343528279002931,08/26,759,1
ENGINEER,18967,376540917589518,03/25,366,0
ENGINEER,37863,370288959577209,07/25,8877,0
LAWYER,94751,3587481145648751,06/31,612,1
LAWYER,67976,213116528444646,10/30,274,0
ENGINEER,21382,213130691839037,12/30,574,1
LAWYER,36418,5195036591687999,07/27,757,0
DOCTOR,70186,213169852910138,10/29,601,1
ENGINEER,62089,213109200316315,05/31,560,0
LAWYER,52845,6011428463559515,01/31,747,0
DOCTOR,37583,3517693855646693,01/28,715,0
ENGINEER,62273,3563093124187764,08/28,856,1
DOCTOR,17465,4094082189595006017,05/30,694,1
