Profession,Income,Credit_card_number,Expiry,Security_code
DOCTOR,42509,3515418493460774,07/25,251
DOCTOR,80334,213134223583196,05/32,858
LAWYER,91552,4869615013764888,03/30,755
LAWYER,43623,341063356109385,01/29,160
DOCTOR,22962,4707418777543978402,11/30,102
ENGINEER,72106,4483533221713,05/27,834
DOCTOR,54992,348781654665997,06/30,207
LAWYER,19996,38608157332988,12/26,433
DOCTOR,54682,4495934016931879,01/32,872
DOCTOR,74679,30107450695256,09/34,295
ENGINEER,18932,4378127464575998663,09/32,637
ENGINEER,7554,4277979999858536,10/31,360
LAWYER,3092,3584353125903535,10/32,666
LAWYER,35707,3566642280046540,02/33,652
DOCTOR,48695,3509190113431000,09/25,901
ENGINEER,7932,3598862315700018,11/33,831
DOCTOR,5403,4728303889641271,10/31,962
ENGINEER,52440,6011305111955735,04/27,3336
LAWYER,1598,4786471014340,12/24,390
DOCTOR,53211,38604448050141,04/25,859
LAWYER,54103,571979063658,04/33,228
LAWYER,74329,6592329894337538,11/25,469
ENGINEER,3784,4899733632669794,09/33,723
LAWYER,93669,347167113631542,03/30,547
DOCTOR,72324,36674486727001,05/33,783
LAWYER,62306,4514788813299,11/28,141
DOCTOR,22144,4330275529855384551,06/27,457
ENGINEER,7286,5470392481549252,02/28,758
DOCTOR,4885,2247057643520090,11/26,288
LAWYER,4829,30410458019135,02/25,852
ENGINEER,80900,38269305641638,01/30,882
DOCTOR,86156,30084059321297,02/34,962
ENGINEER,30627,375169591033220,12/24,871
DOCTOR,4195,4792890479814707,06/34,279
DOCTOR,86553,4340098493416212112,12/33,282
DOCTOR,99484,2567867494423778,01/32,686
ENGINEER,83925,370522502935666,03/26,677
DOCTOR,35956,213118318256057,07/29,848
ENGINEER,13039,3561835251466870,12/33,241
DOCTOR,84764,213185684197843,08/29,817
LAWYER,17564,4902419569172045,11/28,777
LAWYER,69645,371030681064497,04/33,4108
DOCTOR,37159,6011824682411928,10/29,428
LAWYER,20653,5363884342348650,04/32,958
DOCTOR,40682,3501682453218433,08/32,791
ENGINEER,8051,3545511695093858,09/30,22
ENGINEER,16701,213196024854928,01/25,741
DOCTOR,35273,30280051238568,05/33,203
DOCTOR,61284,4598579635222170,03/33,3575
LAWYER,24571,4767152850301,04/30,857
